,0
credit_score,1.1550068
dti,1.1276456
orig_upb,0.9028738
num_borrowers,0.85004336
exposed_x_low_credit,0.50715435
cltv,0.492774
orig_interest_rate,0.47959775
ltv,0.3731789
property_type,0.35284546
exposed_x_high_ltv,0.34777
occupancy_status,0.253184
channel,0.17782576
first_time_homebuyer,0.15653351
loan_purpose,0.114673436
exposed_x_high_dti,0.04940017
num_units,0.0
disaster_exposed,0.0
amortization_type,0.0
