,0
exposed_x_low_credit,1.5251894
credit_score,0.5126655
exposed_x_high_dti,0.44552857
dti,0.314575
num_borrowers,0.30557072
orig_upb,0.26959187
exposed_x_high_ltv,0.2462882
loan_purpose,0.24385309
orig_interest_rate,0.20592451
ltv,0.19941825
cltv,0.106249236
property_type,0.083807
channel,0.035948176
occupancy_status,0.035395816
first_time_homebuyer,0.024302151
num_units,0.0037033088
disaster_exposed,0.0
amortization_type,0.0
